日新月异	日新月异 🌞❤🌙👆
卖艺男	卖艺男 🤹🏻‍♂️
博士女	博士女 👩🏻‍🎓
博士男	博士男 👨🏻‍🎓
卫士女	卫士女 💂🏻‍♀️
卫士男	卫士男 💂🏻‍♂️
卫门女	卫门女 💂🏻‍♀️
卫门男	卫门男 💂🏻‍♂️
印度寺庙	印度寺庙 🛕
印度寺廟	印度寺廟 🛕
印度庙	印度庙 🛕
印度廟	印度廟 🛕
印度神庙	印度神庙 🛕
印度神廟	印度神廟 🛕
卷发女	卷发女 👩🏻‍🦱
卷发男	卷发男 👨🏻‍🦱
厕所泵	厕所泵 🪠
厨子女	厨子女 👩🏻‍🍳
厨子男	厨子男 👨🏻‍🍳
厨师女	厨师女 👩🏻‍🍳
厨师男	厨师男 👨🏻‍🍳
参禅女	参禅女 🧘🏻‍♀️
参禅男	参禅男 🧘🏻‍♂️
參禪女	參禪女 🧘🏻‍♀️
參禪男	參禪男 🧘🏻‍♂️
双板	双板 ⛷️
双板滑雪	双板滑雪 ⛷️
可惜	可惜 😮‍💨
右面	右面 🫱🏻
合什	合什 🙏🏻
同学	同学 🧑🏻‍🎓
同学女	同学女 👩🏻‍🎓
同学男	同学男 👨🏻‍🎓
同學	同學 🧑🏻‍🎓
同學女	同學女 👩🏻‍🎓
同學男	同學男 👨🏻‍🎓
听不见女	听不见女 🧏🏻‍♀️
听不见男	听不见男 🧏🏻‍♂️
吸把	吸把 🪠
吸血鬼女	吸血鬼女 🧛🏻‍♀️
吸血鬼男	吸血鬼男 🧛🏻‍♂️
咬唇	咬唇 🫦
哈哈	哈哈 😄 😸 🤭
哎	哎 😮‍💨
唔关我事女	唔关我事女 🤷🏻‍♀️
唔关我事男	唔关我事男 🤷🏻‍♂️
唔知女	唔知女 🤷🏻‍♀️
唔知男	唔知男 🤷🏻‍♂️
唔關我事女	唔關我事女 🤷🏻‍♀️
唔關我事男	唔關我事男 🤷🏻‍♂️
唱K	唱K 🪩
啦啦队女	啦啦队女 👯🏻‍♀️
啦啦队男	啦啦队男 👯🏻‍♂️
啦啦隊女	啦啦隊女 👯🏻‍♀️
啦啦隊男	啦啦隊男 👯🏻‍♂️
喂奶女	喂奶女 👩🏻‍🍼
喂奶男	喂奶男 👨🏻‍🍼
喜馬紅	喜馬紅 🧉
喜马红	喜马红 🧉
嗯哼	嗯哼 🫤
噘嘴女	噘嘴女 🙎🏻‍♀️
噘嘴男	噘嘴男 🙎🏻‍♂️
回力镖	回力镖 🪃
圣诞奶奶	圣诞奶奶 🤶🏻
圣诞老奶奶	圣诞老奶奶 🤶🏻
坏蛋女	坏蛋女 🦹🏻‍♀️
坏蛋男	坏蛋男 🦹🏻‍♂️
坚强	坚强 🥲
坟地	坟地 🪦
坟墓	坟墓 🪦
堅強	堅強 🥲
墓	墓 🪦
墨西哥粽	墨西哥粽 🫔
墨西哥糉	墨西哥糉 🫔
墳地	墳地 🪦
墳墓	墳墓 🪦
壞蛋女	壞蛋女 🦹🏻‍♀️
壞蛋男	壞蛋男 🦹🏻‍♂️
壶	壶 🫖
壺	壺 🫖
夜总会	夜总会 🪩
夜總會	夜總會 🪩
大厨女	大厨女 👩🏻‍🍳
大厨男	大厨男 👨🏻‍🍳
大学生女	大学生女 👩🏻‍🎓
大学生男	大学生男 👨🏻‍🎓
大學生女	大學生女 👩🏻‍🎓
大學生男	大學生男 👨🏻‍🎓
大廚女	大廚女 👩🏻‍🍳
大廚男	大廚男 👨🏻‍🍳
大法官女	大法官女 👩🏻‍⚖️
大法官男	大法官男 👨🏻‍⚖️
大状女	大状女 👩🏻‍⚖️
大状男	大状男 👨🏻‍⚖️
大狀女	大狀女 👩🏻‍⚖️
大狀男	大狀男 👨🏻‍⚖️
大肚子女	大肚子女 🤰🏻
大肚子男	大肚子男 🫃🏻
大胡子	大胡子 🧔🏻
大胡子女	大胡子女 🧔🏻‍♀️
大胡子男	大胡子男 🧔🏻‍♂️
大餅	大餅 🫓
大饼	大饼 🫓
大鬍子	大鬍子 🧔🏻
大鬍子女	大鬍子女 🧔🏻‍♀️
大鬍子男	大鬍子男 🧔🏻‍♂️
大麻烦女	大麻烦女 🤦🏻‍♀️
大麻烦男	大麻烦男 🤦🏻‍♂️
大麻煩女	大麻煩女 🤦🏻‍♀️
大麻煩男	大麻煩男 🤦🏻‍♂️
太好了女	太好了女 🙆🏻‍♀️
太好了男	太好了男 🙆🏻‍♂️
太热	太热 🫠
太熱	太熱 🫠
太空人女	太空人女 👩🏻‍🚀
太空人男	太空人男 👨🏻‍🚀
太阳㡌	太阳㡌 🧢
太陽㡌	太陽㡌 🧢
头大女	头大女 🤦🏻‍♀️
头大男	头大男 🤦🏻‍♂️
头巾女	头巾女 👳🏾‍♀️
头巾男	头巾男 👳🏾‍♂️
头疼女	头疼女 🤦🏻‍♀️
头疼男	头疼男 🤦🏻‍♂️
奔跑女	奔跑女 🏃🏻‍♀️
奔跑男	奔跑男 🏃🏻‍♂️
奶酪火鍋	奶酪火鍋 🫕
好㖿	好㖿 😁
好奇	好奇 🤔
好热	好热 🫠
好熱	好熱 🫠
妊娠女	妊娠女 🤰🏻
妊娠男	妊娠男 🫃🏻
妻	妻 👰🏻‍♀️
妻子	妻子 👰🏻‍♀️
委屈女	委屈女 🙎🏻‍♀️
委屈男	委屈男 🙎🏻‍♂️
婚紗	婚紗 👰🏻 👰🏻‍♀️
婚紗男	婚紗男 👰🏻‍♂️
婚纱	婚纱 👰🏻 👰🏻‍♀️
婚纱男	婚纱男 👰🏻‍♂️
学士女	学士女 👩🏻‍🎓
学士男	学士男 👨🏻‍🎓
学生女	学生女 👩🏻‍🎓
学生男	学生男 👨🏻‍🎓
學士女	學士女 👩🏻‍🎓
學士男	學士男 👨🏻‍🎓
學生女	學生女 👩🏻‍🎓
學生男	學生男 👨🏻‍🎓
宇航员女	宇航员女 👩🏻‍🚀
宇航员男	宇航员男 👨🏻‍🚀
宇航員女	宇航員女 👩🏻‍🚀
宇航員男	宇航員男 👨🏻‍🚀
守卫女	守卫女 💂🏻‍♀️
守卫男	守卫男 💂🏻‍♂️
守衛女	守衛女 💂🏻‍♀️
守衛男	守衛男 💂🏻‍♂️
宠物犬	宠物犬 🐕‍🦺
宠物狗	宠物狗 🐕‍🦺
寵物犬	寵物犬 🐕‍🦺
寵物狗	寵物狗 🐕‍🦺
导盲杖	导盲杖 🦯
專家女	專家女 👩🏻‍🔬
專家男	專家男 👨🏻‍🔬
導盲杖	導盲杖 🦯
導盲犬	導盲犬 🦮
小強	小強 🪳
少許	少許 🤌🏻
少许	少许 🤌🏻
山地单车女	山地单车女 🚵🏻‍♀️
山地单车男	山地单车男 🚵🏻‍♂️
山地單車女	山地單車女 🚵🏻‍♀️
山地單車男	山地單車男 🚵🏻‍♂️
山地自行車女	山地自行車女 🚵🏻‍♀️
山地自行車男	山地自行車男 🚵🏻‍♂️
山地自行车女	山地自行车女 🚵🏻‍♀️
山地自行车男	山地自行车男 🚵🏻‍♂️
山地車女	山地車女 🚵🏻‍♀️
山地車男	山地車男 🚵🏻‍♂️
山地车女	山地车女 🚵🏻‍♀️
山地车男	山地车男 🚵🏻‍♂️
山地騎行女	山地騎行女 🚵🏻‍♀️
山地騎行男	山地騎行男 🚵🏻‍♂️
山地骑行女	山地骑行女 🚵🏻‍♀️
山地骑行男	山地骑行男 🚵🏻‍♂️
崇拜女	崇拜女 🙇🏻‍♀️
崇拜男	崇拜男 🙇🏻‍♂️
巢	巢 🪹 🪺
工人女	工人女 👩🏻‍🏭 👷🏻‍♀️
工人男	工人男 👨🏻‍🏭 👷🏻‍♂️
工程师女	工程师女 👩🏻‍💻 👷🏻‍♀️
工程师男	工程师男 👨🏻‍💻 👷🏻‍♂️
工程師女	工程師女 👩🏻‍💻 👷🏻‍♀️
工程師男	工程師男 👨🏻‍💻 👷🏻‍♂️
工薪阶层女	工薪阶层女 👩🏻‍💼
工薪阶层男	工薪阶层男 👨🏻‍💼
工薪階層女	工薪階層女 👩🏻‍💼
工薪階層男	工薪階層男 👨🏻‍💼
左面	左面 🫲🏻
差人女	差人女 👮🏻‍♀️
差人男	差人男 👮🏻‍♂️
巴拉圭茶	巴拉圭茶 🧉
巴西茶	巴西茶 🧉
帚	帚 🧹
并肩	并肩 🧑🏻‍🤝‍🧑🏻
幼虫	幼虫 🐛
幼蟲	幼蟲 🐛
廁所泵	廁所泵 🪠
廚子女	廚子女 👩🏻‍🍳
廚子男	廚子男 👨🏻‍🍳
廚師女	廚師女 👩🏻‍🍳
廚師男	廚師男 👨🏻‍🍳
建筑工人女	建筑工人女 👷🏻‍♀️
建筑工人男	建筑工人男 👷🏻‍♂️
建筑工女	建筑工女 👷🏻‍♀️
建筑工男	建筑工男 👷🏻‍♂️
建築工人女	建築工人女 👷🏻‍♀️
建築工人男	建築工人男 👷🏻‍♂️
建築工女	建築工女 👷🏻‍♀️
建築工男	建築工男 👷🏻‍♂️
律师女	律师女 👩🏻‍⚖️
律师男	律师男 👨🏻‍⚖️
律師女	律師女 👩🏻‍⚖️
律師男	律師男 👨🏻‍⚖️
循环播放	循环播放 🔁
心疼	心疼 ❤️‍🩹
心痛	心痛 ❤️‍🩹
心臟	心臟 🫀
怀孕女	怀孕女 🤰 🤰🏻 🤰🏼 🤰🏽 🤰🏾 🤰🏿 🤰🏻
女妈妈	女妈妈 🤰 🤰🏻 🤰🏼 🤰🏽 🤰🏾 🤰🏿 🤰🏻
愚鳩	愚鳩 🦤
愚鸠	愚鸠 🦤
感人	感人 🥹
感恩	感恩 🥹
慢走女	慢走女 🚶🏻‍♀️
慢走男	慢走男 🚶🏻‍♂️
憋屈女	憋屈女 🙎🏻‍♀️
憋屈男	憋屈男 🙎🏻‍♂️
懷孕女	懷孕女 🤰🏻
懷孕男	懷孕男 🫃🏻
戏法女	戏法女 🤹🏻‍♀️
戏法男	戏法男 🤹🏻‍♂️
戲法女	戲法女 🤹🏻‍♀️
戲法男	戲法男 🤹🏻‍♂️
戶	戶 🪟
户	户 🪟
所以呢女	所以呢女 🤷🏻‍♀️
所以呢男	所以呢男 🤷🏻‍♂️
手指	手指 🫵🏻
手杖	手杖 🩼
手球女	手球女 🤾🏻‍♀️
手球男	手球男 🤾🏻‍♂️
手風琴	手風琴 🪗
打坐女	打坐女 🧘🏻‍♀️
打坐男	打坐男 🧘🏻‍♂️
打招呼女	打招呼女 🙋🏻‍♀️
打招呼男	打招呼男 🙋🏻‍♂️
打球女	打球女 ⛹🏻‍♀️
打球男	打球男 ⛹🏻‍♂️
打疫苗	打疫苗 💉
打篮球女	打篮球女 ⛹🏻‍♀️
打篮球男	打篮球男 ⛹🏻‍♂️
打籃球女	打籃球女 ⛹🏻‍♀️
打籃球男	打籃球男 ⛹🏻‍♂️
托	托 🫴🏻
技工女	技工女 👩🏻‍🔧
技工男	技工男 👨🏻‍🔧
技师女	技师女 👩🏻‍🔧
技师男	技师男 👨🏻‍🔧
技師女	技師女 👩🏻‍🔧
技師男	技師男 👨🏻‍🔧
把戏女	把戏女 🤹🏻‍♀️
把戏男	把戏男 🤹🏻‍♂️
把戲女	把戲女 🤹🏻‍♀️
把戲男	把戲男 🤹🏻‍♂️
抓	抓 🫳🏻
护士女	护士女 👩🏻‍⚕️
护士男	护士男 👨🏻‍⚕️
抱	抱 🫂
招呼女	招呼女 🙋🏻‍♀️
招呼男	招呼男 🙋🏻‍♂️
招手女	招手女 🙋🏻‍♀️
招手男	招手男 🙋🏻‍♂️
挂镜	挂镜 🪞
按摩师女	按摩师女 💆🏻‍♀️
按摩师男	按摩师男 💆🏻‍♂️
按摩師女	按摩師女 💆🏻‍♀️
按摩師男	按摩師男 💆🏻‍♂️
按摩男	按摩男 💆🏻‍♂️
捏	捏 🤏🏻
捏著	捏著 🤏🏻
捲髮女	捲髮女 👩🏻‍🦱
捲髮男	捲髮男 👨🏻‍🦱
掛鏡	掛鏡 🪞
探長女	探長女 🕵🏻‍♀️
探長男	探長男 🕵🏻‍♂️
探长女	探长女 🕵🏻‍♀️
探长男	探长男 🕵🏻‍♂️
提示牌	提示牌 🪧
搖搖	搖搖 🪀
摇摇	摇摇 🪀
摊手女	摊手女 🤷🏻‍♀️
摊手男	摊手男 🤷🏻‍♂️
摔跤女	摔跤女 🤼🏻‍♀️
摔跤男	摔跤男 🤼🏻‍♂️
撮	撮 🤌🏻
擕手	擕手 🧑🏻‍🤝‍🧑🏻
攀岩女	攀岩女 🧗🏻‍♀️
攀岩男	攀岩男 🧗🏻‍♂️
攀巖女	攀巖女 🧗🏻‍♀️
攀巖男	攀巖男 🧗🏻‍♂️
攀登女	攀登女 🧗🏻‍♀️
攀登男	攀登男 🧗🏻‍♂️
攤手	攤手 🤷🏻
攤手女	攤手女 🤷🏻‍♀️
攤手男	攤手男 🤷🏻‍♂️
收声	收声 🫢
收聲	收聲 🫢
改錐	改錐 🪛
改锥	改锥 🪛
救火队女	救火队女 👩🏻‍🚒
救火队男	救火队男 👨🏻‍🚒
救火隊女	救火隊女 👩🏻‍🚒
救火隊男	救火隊男 👨🏻‍🚒
救生服	救生服 🦺
救生衣	救生衣 🦺
教书女	教书女 👩🏻‍🏫
教书男	教书男 👨🏻‍🏫
教师女	教师女 👩🏻‍🏫
教师男	教师男 👨🏻‍🏫
教師女	教師女 👩🏻‍🏫
教師男	教師男 👨🏻‍🏫
教書女	教書女 👩🏻‍🏫
教書男	教書男 👨🏻‍🏫
敬禮	敬禮 🫡
斑鳩琴	斑鳩琴 🪕
斑鸠琴	斑鸠琴 🪕
斜眼	斜眼 😏
斧	斧 🪓
新妇	新妇 👰🏻‍♀️
新娘中性	新娘中性 👰🏻
新娘男	新娘男 👰🏻‍♂️
新婦	新婦 👰🏻‍♀️
新郎女	新郎女 🤵🏻‍♀️
旄牛	旄牛 🦬
无助女	无助女 🙍🏻‍♀️
无助男	无助男 🙍🏻‍♂️
无所谓女	无所谓女 🤷🏻‍♀️
无所谓男	无所谓男 🤷🏻‍♂️
无望女	无望女 🙍🏻‍♀️
无望男	无望男 🙍🏻‍♂️
无能为力女	无能为力女 🤷🏻‍♀️
无能为力男	无能为力男 🤷🏻‍♂️
昆虫	昆虫 🪲
昆蟲	昆蟲 🪲
明星女	明星女 👩🏻‍🎤️
明星男	明星男 👨🏻‍🎤️
晓不得女	晓不得女 🤷🏻‍♀️
晓不得男	晓不得男 🤷🏻‍♂️
暗夜精灵女	暗夜精灵女 🧝🏻‍♀️
暗夜精灵男	暗夜精灵男 🧝🏻‍♂️
暗夜精靈女	暗夜精靈女 🧝🏻‍♀️
暗夜精靈男	暗夜精靈男 🧝🏻‍♂️
曉不得女	曉不得女 🤷🏻‍♀️
曉不得男	曉不得男 🤷🏻‍♂️
曱甴	曱甴 🪳
服务员女	服务员女 💁🏻‍♀️
服务员男	服务员男 💁🏻‍♂️
服務員女	服務員女 💁🏻‍♀️
服務員男	服務員男 💁🏻‍♂️
木星	木星 🪐
木柴	木柴 🪵
木頭	木頭 🪵
未睡醒	未睡醒 😵‍💫
未瞓醒	未瞓醒 😵‍💫
机器腿	机器腿 🦿
机器臂	机器臂 🦾
机械腿	机械腿 🦿
机械臂	机械臂 🦾
机长女	机长女 👩🏻‍✈️
机长男	机长男 👨🏻‍✈️
杂技女	杂技女 🤹🏻‍♀️
杂技男	杂技男 🤹🏻‍♂️
杖	杖 🦯
杠铃女	杠铃女 🏋🏻‍♀️
杠铃男	杠铃男 🏋🏻‍♂️
条子女	条子女 👮🏻‍♀️
条子男	条子男 👮🏻‍♂️
柔道女	柔道女 🤼🏻‍♀️
柔道男	柔道男 🤼🏻‍♂️
柴	柴 🪵
柺杖	柺杖 🩼
树獭	树獭 🦥
核子弹	核子弹 ☢️
核子彈	核子彈 ☢️
核弹	核弹 ☢️
核彈	核彈 ☢️
核电	核电 ⚛️
核能	核能 ⚛️
核電	核電 ⚛️
桑拿女	桑拿女 🧖🏻‍♀️
桑拿男	桑拿男 🧖🏻‍♂️
條子女	條子女 👮🏻‍♀️
條子男	條子男 👮🏻‍♂️
梯	梯 🪜
棕圆	棕圆 🟤
棕圓	棕圓 🟤
棕心	棕心 🤎
槓鈴女	槓鈴女 🏋🏻‍♀️
槓鈴男	槓鈴男 🏋🏻‍♂️
樹懶	樹懶 🦥
樹獺	樹獺 🦥
橄欖	橄欖 🫒
橘色	橘色 🟧
橘黃	橘黃 🟧
橘黃色	橘黃色 🟧
橘黄	橘黄 🟧
橘黄色	橘黄色 🟧
橙	橙 🟧
橙圆	橙圆 🟠
橙圓	橙圓 🟠
橙色	橙色 🟧
機器腿	機器腿 🦿
機器臂	機器臂 🦾
機械腿	機械腿 🦿
機械臂	機械臂 🦾
機長女	機長女 👩🏻‍✈️
機長男	機長男 👨🏻‍✈️
欢呼女	欢呼女 🙋🏻‍♀️
欢呼男	欢呼男 🙋🏻‍♂️
欢迎女	欢迎女 🙋🏻‍♀️
欢迎男	欢迎男 🙋🏻‍♂️
歌厅	歌厅 🪩
歌廳	歌廳 🪩
歌手女	歌手女 👩🏻‍🎤️
歌手男	歌手男 👨🏻‍🎤️
歌星女	歌星女 👩🏻‍🎤️
歌星男	歌星男 👨🏻‍🎤️
歌舞厅	歌舞厅 🪩
歌舞廳	歌舞廳 🪩
歡呼女	歡呼女 🙋🏻‍♀️
歡呼男	歡呼男 🙋🏻‍♂️
歡迎女	歡迎女 🙋🏻‍♀️
歡迎男	歡迎男 🙋🏻‍♂️
止血胶布	止血胶布 🩹
止血膠布	止血膠布 🩹
残杖	残杖 🩼
残疾	残疾 🧑🏻‍🦼 🧑🏻‍🦽
残疾人	残疾人 🧑🏻‍🦼 🧑🏻‍🦽
残疾人女	残疾人女 👩🏻‍🦼 👩🏻‍🦽
残疾人男	残疾人男 👨🏻‍🦼 👨🏻‍🦽
残疾女	残疾女 👩🏻‍🦼 👩🏻‍🦽
残疾男	残疾男 👨🏻‍🦼 👨🏻‍🦽
殘杖	殘杖 🩼
殘疾	殘疾 🧑🏻‍🦼 🧑🏻‍🦽
殘疾人	殘疾人 🧑🏻‍🦼 🧑🏻‍🦽
殘疾人女	殘疾人女 👩🏻‍🦼 👩🏻‍🦽
殘疾人男	殘疾人男 👨🏻‍🦼 👨🏻‍🦽
殘疾女	殘疾女 👩🏻‍🦼 👩🏻‍🦽
殘疾男	殘疾男 👨🏻‍🦼 👨🏻‍🦽
殭屍女	殭屍女 🧟‍♀️
殭屍男	殭屍男 🧟‍♂️
比愛心	比愛心 🫶🏻
比爱心	比爱心 🫶🏻
氂牛	氂牛 🦬
民工女	民工女 👷🏻‍♀️
民工男	民工男 👷🏻‍♂️
民警女	民警女 👮🏻‍♀️
民警男	民警男 👮🏻‍♂️
氣泡	氣泡 🫧
水獺	水獺 🦦
水球女	水球女 🤽🏻‍♀️
水球男	水球男 🤽🏻‍♂️
沒睡醒	沒睡醒 😵‍💫
沒門女	沒門女 🙅🏻‍♀️
沒門男	沒門男 🙅🏻‍♂️
沒電	沒電 🪫
没电	没电 🪫
没睡醒	没睡醒 😵‍💫
没门女	没门女 🙅🏻‍♀️
没门男	没门男 🙅🏻‍♂️
沮丧女	沮丧女 🙍🏻‍♀️
沮丧男	沮丧男 🙍🏻‍♂️
沮喪女	沮喪女 🙍🏻‍♀️
沮喪男	沮喪男 🙍🏻‍♂️
油燈	油燈 🪔
法官女	法官女 👩🏻‍⚖️
法官男	法官男 👨🏻‍⚖️
法师女	法师女 🧙🏻‍♀️
法师男	法师男 🧙🏻‍♂️
法師女	法師女 🧙🏻‍♀️
法師男	法師男 🧙🏻‍♂️
法蒂瑪之手	法蒂瑪之手 🪬
泡	泡 🫧
泳裤	泳裤 🩲
泳褲	泳褲 🩲
洋服	洋服 🤵🏻
洋服女	洋服女 🤵🏻‍♀️
洋服男	洋服男 🤵🏻‍♂️
洋蒜	洋蒜 🧅
洋蔥	洋蔥 🧅
浮潛	浮潛 🤿
浮潜	浮潜 🤿
海狮	海狮 🦭
海獅	海獅 🦭
消防员女	消防员女 👩🏻‍🚒
消防员男	消防员男 👨🏻‍🚒
消防員女	消防員女 👩🏻‍🚒
消防員男	消防員男 👨🏻‍🚒
渡渡鳥	渡渡鳥 🦤
游泳圈	游泳圈 🛟
游泳女	游泳女 🏊🏻‍♀️
游泳男	游泳男 🏊🏻‍♂️
溜溜球	溜溜球 🪀
滅火隊女	滅火隊女 👩🏻‍🚒
滅火隊男	滅火隊男 👨🏻‍🚒
滑雪靴	滑雪靴 🎿
漫步女	漫步女 🚶🏻‍♀️
漫步男	漫步男 🚶🏻‍♂️
潛水	潛水 🤿
激动	激动 ❤️‍🔥
激動	激動 ❤️‍🔥
激情	激情 ❤️‍🔥
火烈鳥	火烈鳥 🦩
火热	火热 ❤️‍🔥
火熱	火熱 ❤️‍🔥
火警女	火警女 👩🏻‍🚒
火警男	火警男 👨🏻‍🚒
灭火队女	灭火队女 👩🏻‍🚒
灭火队男	灭火队男 👨🏻‍🚒
灯神女	灯神女 🧞‍♀️
灯神男	灯神男 🧞‍♂️
热心	热心 ❤️‍🔥
無助女	無助女 🙍🏻‍♀️
無助男	無助男 🙍🏻‍♂️
無所謂女	無所謂女 🤷🏻‍♀️
無所謂男	無所謂男 🤷🏻‍♂️
無望女	無望女 🙍🏻‍♀️
無望男	無望男 🙍🏻‍♂️
無能爲力女	無能爲力女 🤷🏻‍♀️
無能爲力男	無能爲力男 🤷🏻‍♂️
熔化	熔化 🫠
熱心	熱心 ❤️‍🔥
燈神女	燈神女 🧞‍♀️
燈神男	燈神男 🧞‍♂️
爬泳女	爬泳女 🏊🏻‍♀️
爬泳男	爬泳男 🏊🏻‍♂️
牛油	牛油 🧈
牡蠣	牡蠣 🦪
牦牛	牦牛 🦬
状师女	状师女 👩🏻‍⚖️
状师男	状师男 👨🏻‍⚖️
狀師女	狀師女 👩🏻‍⚖️
狀師男	狀師男 👨🏻‍⚖️
狗繩	狗繩 🐕‍🦺
狗绳	狗绳 🐕‍🦺
狸	狸 🦫
猛犸	猛犸 🦣
猛獁	猛獁 🦣
猛玛象	猛玛象 🦣
猛瑪象	猛瑪象 🦣
獸人	獸人 🧌
王	王 🫅🏻
王冠女	王冠女 🤴🏻
王冠男	王冠男 👸🏻
王男	王男 👸🏻
玛利亚之手	玛利亚之手 🪬
玛黛茶	玛黛茶 🧉
玻璃罐	玻璃罐 🫙
玻璃鏡	玻璃鏡 🪞
玻璃镜	玻璃镜 🪞
珊瑚礁	珊瑚礁 🪸
班主住女	班主住女 👩🏻‍🏫
班主住男	班主住男 👨🏻‍🏫
班卓琴	班卓琴 🪕
球员	球员 ⛹🏻
球员女	球员女 ⛹🏻‍♀️
球员男	球员男 ⛹🏻‍♂️
球員	球員 ⛹🏻
球員女	球員女 ⛹🏻‍♀️
球員男	球員男 ⛹🏻‍♂️
理发女	理发女 💇🏻‍♀️
理发男	理发男 💇🏻‍♂️
理髮女	理髮女 💇🏻‍♀️
理髮男	理髮男 💇🏻‍♂️
瑪利亞之手	瑪利亞之手 🪬
瑪黛茶	瑪黛茶 🧉
生物科技	生物科技 🧬
生蠔	生蠔 🦪
田径女	田径女 🏃🏻‍♀️
田径男	田径男 🏃🏻‍♂️
田徑女	田徑女 🏃🏻‍♀️
田徑男	田徑男 🏃🏻‍♂️
甲蟲	甲蟲 🪲
电动轮椅	电动轮椅 🦼
画家女	画家女 👩🏻‍🎨
画家男	画家男 👨🏻‍🎨
畫家女	畫家女 👩🏻‍🎨
畫家男	畫家男 👨🏻‍🎨
疫苗	疫苗 💉
疼心	疼心 ❤️‍🩹
痛心	痛心 ❤️‍🩹
白	白 ⬜️
白发女	白发女 👩🏻‍🦳
白发男	白发男 👨🏻‍🦳
白圆	白圆 ⚪️
白圓	白圓 ⚪️
白头发	白头发 🧑🏻‍🦳
白头发女	白头发女 👩🏻‍🦳
白头发男	白头发男 👨🏻‍🦳
白心	白心 🤍
白熊	白熊 🐻‍❄️
白色	白色 ⬜️
白領女	白領女 👩🏻‍💼
白領男	白領男 👨🏻‍💼
白頭髮	白頭髮 🧑🏻‍🦳
白頭髮女	白頭髮女 👩🏻‍🦳
白頭髮男	白頭髮男 👨🏻‍🦳
白领女	白领女 👩🏻‍💼
白领男	白领男 👨🏻‍💼
白髮女	白髮女 👩🏻‍🦳
白髮男	白髮男 👨🏻‍🦳
皮卡	皮卡 🛻
皮納塔	皮納塔 🪅
皱眉女	皱眉女 🙍🏻‍♀️
皱眉男	皱眉男 🙍🏻‍♂️
皺眉女	皺眉女 🙍🏻‍♀️
皺眉男	皺眉男 🙍🏻‍♂️
盆景	盆景 🪴
盒装饮料	盒装饮料 🧃
盒裝飲料	盒裝飲料 🧃
盔	盔 🪖
盘腿女	盘腿女 🧘🏻‍♀️
盘腿男	盘腿男 🧘🏻‍♂️
盤腿女	盤腿女 🧘🏻‍♀️
盤腿男	盤腿男 🧘🏻‍♂️
盲	盲 🧑🏻‍🦯
盲人女	盲人女 👩🏻‍🦯
盲人男	盲人男 👨🏻‍🦯
盲女	盲女 👩🏻‍🦯
盲男	盲男 👨🏻‍🦯
直梯	直梯 🛗
看守女	看守女 💂🏻‍♀️
看守男	看守男 💂🏻‍♂️
真好女	真好女 🙆🏻‍♀️
真好男	真好男 🙆🏻‍♂️
睇唔明	睇唔明 😵‍💫
睡莲	睡莲 🪷
睡蓮	睡蓮 🪷
瞎子女	瞎子女 👩🏻‍🦯
瞎子男	瞎子男 👨🏻‍🦯
短褲	短褲 🩲 🩳
石	石 🪨
石块	石块 🪨
石塊	石塊 🪨
研究员女	研究员女 👩🏻‍🔬
研究员男	研究员男 👨🏻‍🔬
研究員女	研究員女 👩🏻‍🔬
研究員男	研究員男 👨🏻‍🔬
硬幣	硬幣 🪙
硴	硴 🦪
磕头女	磕头女 🙇🏻‍♀️
磕头男	磕头男 🙇🏻‍♂️
磕頭女	磕頭女 🙇🏻‍♀️
磕頭男	磕頭男 🙇🏻‍♂️
神探女	神探女 🕵🏻‍♀️
神探男	神探男 🕵🏻‍♂️
神祕	神祕 😶‍🌫️
神秘	神秘 😶‍🌫️
禿女	禿女 👩🏻‍🦲
禿男	禿男 👨🏻‍🦲
禿頭女	禿頭女 👩🏻‍🦲
禿頭男	禿頭男 👨🏻‍🦲
秃头女	秃头女 👩🏻‍🦲
秃头男	秃头男 👨🏻‍🦲
秃女	秃女 👩🏻‍🦲
秃男	秃男 👨🏻‍🦲
种地女	种地女 👩🏻‍🌾
种地男	种地男 👨🏻‍🌾
种田女	种田女 👩🏻‍🌾
种田男	种田男 👨🏻‍🌾
科学家女	科学家女 👩🏻‍🔬
科学家男	科学家男 👨🏻‍🔬
科學家女	科學家女 👩🏻‍🔬
科學家男	科學家男 👨🏻‍🔬
科研人员女	科研人员女 👩🏻‍🔬
科研人员男	科研人员男 👨🏻‍🔬
科研人員女	科研人員女 👩🏻‍🔬
科研人員男	科研人員男 👨🏻‍🔬
程序员女	程序员女 👩🏻‍💻
程序员男	程序员男 👨🏻‍💻
程序員女	程序員女 👩🏻‍💻
程序員男	程序員男 👨🏻‍💻
稍	稍 🤌🏻
種地女	種地女 👩🏻‍🌾
種地男	種地男 👨🏻‍🌾
種田女	種田女 👩🏻‍🌾
種田男	種田男 👨🏻‍🌾
空氣汙染	空氣汙染 🏭
空电池	空电池 🪫
空電池	空電池 🪫
窗子	窗子 🪟
窗戶	窗戶 🪟
窝夫	窝夫 🧇
窥	窥 🫣
窩夫	窩夫 🧇
窺	窺 🫣
立定	立定 🧍🏻
立定女	立定女 🧍🏻‍♀️
立定男	立定男 🧍🏻‍♂️
站女	站女 🧍🏻‍♀️
站男	站男 🧍🏻‍♂️
站立女	站立女 🧍🏻‍♀️
站立男	站立男 🧍🏻‍♂️
等於	等於 🟰
